Publicacion,;Periodo,BPA, ;BPA_esperado,;Ingresos,;Ingresos_esperados
01/07/2021,01/06/2021,---,2.49,---,25.3B;;;;
28/04/2021,01/03/2021,---,2.34,---,23.6B;;;;
27/01/2021,01/12/2020,3.88,3.19,28.07B,26.36B;;;;
29/10/2020,01/09/2020,2.71,1.90,21.47B,19.8B;;;;
30/06/2020,01/06/2020,1.80,1.39,18.69B,17.403B;;;;
29/04/2020,01/03/2020,1.71,1.74,17.74B,17.33B;;;;
